Image Index,Image Name,Foreground Color 1 (RGB),Foreground Weight 1,Foreground Color 2 (RGB),Foreground Weight 2,Foreground Color 3 (RGB),Foreground Weight 3,Foreground Color 4 (RGB),Foreground Weight 4,Foreground Color 5 (RGB),Foreground Weight 5,Background Color 1 (RGB),Background Weight 1,Background Color 2 (RGB),Background Weight 2,Background Color 3 (RGB),Background Weight 3,Background Color 4 (RGB),Background Weight 4,Background Color 5 (RGB),Background Weight 5
1,L_1.jpg,"RGB(140, 141, 133)",0.39,"RGB(122, 118, 108)",0.26,"RGB(28, 18, 7)",0.09,"RGB(170, 172, 172)",0.18,"RGB(97, 73, 50)",0.08,"RGB(137, 137, 124)",0.40,"RGB(31, 38, 20)",0.13,"RGB(157, 163, 154)",0.10,"RGB(110, 112, 81)",0.15,"RGB(64, 80, 52)",0.22
2,L_4.jpg,"RGB(194, 186, 166)",0.21,"RGB(80, 93, 79)",0.21,"RGB(152, 141, 116)",0.32,"RGB(165, 77, 26)",0.09,"RGB(29, 33, 27)",0.18,"RGB(210, 169, 115)",0.27,"RGB(69, 66, 43)",0.17,"RGB(163, 165, 147)",0.28,"RGB(145, 117, 79)",0.19,"RGB(202, 208, 199)",0.08
3,L_5.jpg,"RGB(150, 152, 147)",0.18,"RGB(78, 78, 71)",0.32,"RGB(229, 230, 224)",0.13,"RGB(116, 117, 111)",0.23,"RGB(187, 189, 184)",0.15,"RGB(128, 127, 122)",0.14,"RGB(195, 199, 195)",0.49,"RGB(164, 168, 163)",0.26,"RGB(89, 89, 84)",0.09,"RGB(47, 37, 31)",0.02
4,L_7.jpg,"RGB(231, 216, 187)",0.27,"RGB(159, 155, 135)",0.16,"RGB(51, 55, 21)",0.12,"RGB(195, 192, 180)",0.31,"RGB(114, 112, 89)",0.13,"RGB(58, 59, 54)",0.14,"RGB(160, 157, 147)",0.09,"RGB(108, 106, 99)",0.12,"RGB(245, 212, 165)",0.07,"RGB(192, 194, 189)",0.58
5,L_8.jpg,"RGB(61, 59, 28)",0.27,"RGB(229, 178, 88)",0.10,"RGB(174, 161, 142)",0.26,"RGB(134, 121, 101)",0.25,"RGB(37, 38, 10)",0.12,"RGB(164, 155, 143)",0.22,"RGB(109, 102, 91)",0.05,"RGB(186, 174, 157)",0.53,"RGB(131, 127, 121)",0.18,"RGB(43, 43, 19)",0.02
6,L_10.jpg,"RGB(116, 118, 102)",0.13,"RGB(19, 18, 13)",0.32,"RGB(232, 236, 235)",0.15,"RGB(155, 158, 154)",0.25,"RGB(75, 78, 56)",0.14,"RGB(5, 5, 2)",0.31,"RGB(120, 115, 106)",0.24,"RGB(99, 94, 77)",0.27,"RGB(73, 65, 40)",0.09,"RGB(138, 137, 133)",0.09
7,L_14.jpg,"RGB(134, 127, 115)",0.35,"RGB(43, 39, 33)",0.11,"RGB(157, 158, 152)",0.10,"RGB(113, 103, 92)",0.27,"RGB(87, 78, 68)",0.17,"RGB(43, 39, 30)",0.11,"RGB(130, 126, 110)",0.35,"RGB(100, 96, 83)",0.09,"RGB(150, 150, 139)",0.32,"RGB(73, 68, 57)",0.12
8,L_21.jpg,"RGB(210, 205, 204)",0.31,"RGB(131, 123, 115)",0.18,"RGB(30, 27, 27)",0.02,"RGB(187, 183, 180)",0.23,"RGB(163, 156, 149)",0.26,"RGB(251, 248, 247)",0.26,"RGB(161, 142, 124)",0.12,"RGB(221, 207, 199)",0.25,"RGB(100, 81, 65)",0.03,"RGB(192, 180, 173)",0.34
9,L_23.jpg,"RGB(80, 71, 60)",0.25,"RGB(7, 7, 5)",0.45,"RGB(34, 34, 28)",0.17,"RGB(182, 172, 149)",0.04,"RGB(148, 136, 118)",0.08,"RGB(179, 166, 145)",0.53,"RGB(117, 113, 103)",0.05,"RGB(152, 144, 129)",0.36,"RGB(11, 12, 9)",0.03,"RGB(68, 63, 53)",0.03
10,L_24.jpg,"RGB(73, 77, 74)",0.36,"RGB(144, 133, 119)",0.14,"RGB(236, 217, 185)",0.29,"RGB(234, 130, 9)",0.08,"RGB(57, 23, 18)",0.13,"RGB(142, 146, 149)",0.20,"RGB(53, 56, 56)",0.18,"RGB(225, 195, 151)",0.14,"RGB(92, 101, 106)",0.14,"RGB(111, 141, 162)",0.33
