Image Index,Foreground Color 1,Foreground Color 2,Foreground Color 3,Foreground Color 4,Foreground Color 5,Background Color 1,Background Color 2,Background Color 3,Background Color 4,Background Color 5
1,"RGB(206, 183, 157)","RGB(112, 92, 77)","RGB(155, 50, 20)","RGB(172, 132, 101)","RGB(66, 44, 28)","RGB(79, 65, 53)","RGB(255, 255, 255)","RGB(147, 125, 106)","RGB(8, 24, 41)","RGB(236, 216, 164)"
2,"RGB(27, 21, 16)","RGB(147, 145, 132)","RGB(227, 225, 219)","RGB(111, 106, 88)","RGB(67, 59, 47)","RGB(157, 146, 128)","RGB(242, 239, 234)","RGB(81, 72, 58)","RGB(32, 27, 22)","RGB(119, 109, 91)"
3,"RGB(68, 56, 40)","RGB(158, 146, 126)","RGB(120, 109, 90)","RGB(209, 197, 176)","RGB(14, 13, 10)","RGB(30, 26, 21)","RGB(187, 178, 163)","RGB(128, 117, 102)","RGB(223, 211, 193)","RGB(162, 151, 135)"
4,"RGB(188, 183, 178)","RGB(172, 156, 139)","RGB(216, 215, 214)","RGB(133, 111, 95)","RGB(95, 79, 65)","RGB(151, 141, 131)","RGB(240, 236, 232)","RGB(177, 167, 157)","RGB(206, 196, 186)","RGB(119, 111, 104)"
5,"RGB(85, 73, 64)","RGB(200, 170, 143)","RGB(133, 120, 108)","RGB(43, 26, 16)","RGB(214, 214, 206)","RGB(214, 163, 116)","RGB(53, 38, 24)","RGB(128, 119, 116)","RGB(175, 180, 183)","RGB(109, 76, 46)"
6,"RGB(145, 145, 143)","RGB(20, 22, 29)","RGB(180, 186, 193)","RGB(103, 102, 102)","RGB(163, 166, 168)","RGB(140, 139, 133)","RGB(48, 47, 46)","RGB(183, 169, 160)","RGB(158, 154, 148)","RGB(233, 204, 176)"
7,"RGB(89, 62, 46)","RGB(219, 203, 175)","RGB(178, 158, 136)","RGB(18, 17, 13)","RGB(133, 101, 74)","RGB(143, 127, 110)","RGB(61, 61, 56)","RGB(104, 92, 80)","RGB(208, 192, 177)","RGB(174, 151, 129)"
8,"RGB(180, 166, 145)","RGB(86, 85, 35)","RGB(245, 227, 200)","RGB(31, 37, 8)","RGB(131, 122, 104)","RGB(211, 191, 168)","RGB(73, 69, 64)","RGB(126, 120, 112)","RGB(254, 252, 244)","RGB(166, 155, 141)"
9,"RGB(131, 125, 119)","RGB(213, 195, 179)","RGB(32, 27, 18)","RGB(171, 158, 144)","RGB(87, 80, 73)","RGB(147, 138, 131)","RGB(71, 71, 70)","RGB(107, 105, 103)","RGB(217, 200, 185)","RGB(186, 170, 158)"
10,"RGB(143, 133, 119)","RGB(55, 46, 32)","RGB(173, 166, 156)","RGB(99, 87, 70)","RGB(199, 191, 182)","RGB(67, 57, 41)","RGB(153, 143, 131)","RGB(123, 114, 101)","RGB(244, 235, 214)","RGB(185, 174, 160)"
11,"RGB(191, 183, 171)","RGB(45, 46, 44)","RGB(101, 99, 94)","RGB(7, 9, 11)","RGB(214, 203, 185)","RGB(146, 144, 137)","RGB(14, 17, 22)","RGB(64, 70, 73)","RGB(193, 189, 175)","RGB(122, 119, 110)"
12,"RGB(111, 98, 84)","RGB(185, 167, 148)","RGB(12, 10, 7)","RGB(147, 132, 115)","RGB(72, 63, 54)","RGB(149, 137, 123)","RGB(196, 204, 205)","RGB(39, 33, 28)","RGB(117, 106, 94)","RGB(170, 162, 151)"
13,"RGB(173, 144, 107)","RGB(87, 73, 56)","RGB(43, 34, 24)","RGB(160, 151, 138)","RGB(139, 114, 78)","RGB(130, 109, 86)","RGB(30, 22, 16)","RGB(245, 243, 224)","RGB(205, 161, 98)","RGB(70, 54, 40)"
14,"RGB(167, 146, 130)","RGB(124, 79, 34)","RGB(74, 41, 19)","RGB(173, 119, 48)","RGB(122, 103, 86)","RGB(191, 168, 144)","RGB(132, 95, 63)","RGB(173, 139, 101)","RGB(224, 220, 200)","RGB(60, 43, 33)"
15,"RGB(239, 231, 221)","RGB(13, 29, 39)","RGB(189, 175, 160)","RGB(63, 66, 48)","RGB(113, 118, 116)","RGB(4, 46, 87)","RGB(215, 219, 219)","RGB(145, 145, 146)","RGB(7, 23, 45)","RGB(79, 86, 96)"
16,"RGB(160, 143, 113)","RGB(8, 7, 4)","RGB(83, 68, 46)","RGB(141, 102, 58)","RGB(36, 31, 21)","RGB(106, 91, 79)","RGB(36, 33, 27)","RGB(8, 7, 5)","RGB(138, 124, 109)","RGB(79, 67, 54)"
17,"RGB(198, 159, 76)","RGB(88, 65, 35)","RGB(41, 34, 18)","RGB(131, 106, 71)","RGB(182, 165, 134)","RGB(156, 138, 108)","RGB(56, 46, 22)","RGB(205, 181, 125)","RGB(124, 101, 73)","RGB(252, 245, 194)"
18,"RGB(198, 198, 189)","RGB(93, 84, 54)","RGB(171, 164, 151)","RGB(38, 46, 21)","RGB(136, 125, 111)","RGB(164, 163, 156)","RGB(50, 39, 25)","RGB(192, 195, 192)","RGB(125, 119, 108)","RGB(234, 199, 148)"
19,"RGB(118, 112, 100)","RGB(218, 215, 204)","RGB(20, 19, 17)","RGB(173, 172, 160)","RGB(71, 69, 60)","RGB(154, 146, 134)","RGB(39, 42, 41)","RGB(206, 209, 206)","RGB(117, 108, 95)","RGB(188, 180, 169)"
