Image Index,Foreground Color 1 (RGB),Foreground Weight 1,Foreground Color 2 (RGB),Foreground Weight 2,Foreground Color 3 (RGB),Foreground Weight 3,Foreground Color 4 (RGB),Foreground Weight 4,Foreground Color 5 (RGB),Foreground Weight 5,Background Color 1 (RGB),Background Weight 1,Background Color 2 (RGB),Background Weight 2,Background Color 3 (RGB),Background Weight 3,Background Color 4 (RGB),Background Weight 4,Background Color 5 (RGB),Background Weight 5
1,"RGB(200, 109, 59)",0.11,"RGB(68, 47, 33)",0.28,"RGB(196, 171, 145)",0.21,"RGB(137, 46, 20)",0.16,"RGB(137, 115, 96)",0.25,"RGB(8, 25, 42)",0.22,"RGB(127, 109, 94)",0.18,"RGB(254, 252, 247)",0.25,"RGB(79, 60, 45)",0.08,"RGB(161, 137, 116)",0.27
2,"RGB(147, 146, 133)",0.27,"RGB(27, 21, 16)",0.33,"RGB(111, 107, 89)",0.15,"RGB(67, 59, 47)",0.20,"RGB(227, 225, 219)",0.04,"RGB(242, 239, 234)",0.13,"RGB(82, 73, 59)",0.24,"RGB(158, 147, 128)",0.21,"RGB(120, 110, 92)",0.27,"RGB(33, 28, 22)",0.15
3,"RGB(107, 95, 76)",0.16,"RGB(58, 48, 34)",0.39,"RGB(215, 204, 184)",0.09,"RGB(174, 162, 141)",0.13,"RGB(137, 127, 108)",0.22,"RGB(223, 211, 193)",0.12,"RGB(128, 117, 102)",0.19,"RGB(187, 178, 163)",0.24,"RGB(30, 26, 21)",0.06,"RGB(162, 151, 135)",0.39
4,"RGB(173, 156, 139)",0.17,"RGB(96, 80, 66)",0.04,"RGB(217, 215, 215)",0.18,"RGB(188, 183, 179)",0.40,"RGB(133, 112, 95)",0.21,"RGB(239, 235, 231)",0.24,"RGB(135, 125, 117)",0.24,"RGB(165, 155, 145)",0.25,"RGB(201, 191, 181)",0.18,"RGB(104, 97, 91)",0.08
5,"RGB(200, 170, 143)",0.20,"RGB(85, 73, 64)",0.34,"RGB(213, 214, 206)",0.11,"RGB(44, 27, 16)",0.19,"RGB(133, 120, 108)",0.16,"RGB(109, 75, 46)",0.23,"RGB(175, 180, 183)",0.18,"RGB(128, 119, 116)",0.32,"RGB(52, 38, 24)",0.17,"RGB(213, 163, 116)",0.10
6,"RGB(166, 169, 172)",0.30,"RGB(20, 22, 29)",0.28,"RGB(106, 105, 105)",0.05,"RGB(149, 150, 149)",0.17,"RGB(182, 188, 195)",0.19,"RGB(140, 139, 132)",0.20,"RGB(183, 168, 158)",0.24,"RGB(48, 47, 46)",0.03,"RGB(223, 202, 181)",0.03,"RGB(157, 154, 148)",0.50
7,"RGB(133, 101, 74)",0.17,"RGB(219, 203, 175)",0.42,"RGB(89, 62, 46)",0.12,"RGB(178, 158, 136)",0.14,"RGB(18, 17, 13)",0.16,"RGB(173, 151, 129)",0.27,"RGB(208, 192, 176)",0.10,"RGB(103, 92, 80)",0.16,"RGB(142, 126, 109)",0.37,"RGB(61, 61, 56)",0.11
8,"RGB(132, 124, 106)",0.15,"RGB(88, 87, 38)",0.11,"RGB(180, 166, 145)",0.41,"RGB(32, 38, 8)",0.17,"RGB(245, 227, 200)",0.17,"RGB(211, 191, 168)",0.27,"RGB(126, 120, 112)",0.24,"RGB(73, 69, 64)",0.15,"RGB(254, 252, 244)",0.06,"RGB(166, 155, 141)",0.28
9,"RGB(171, 158, 144)",0.24,"RGB(87, 80, 73)",0.08,"RGB(213, 195, 179)",0.32,"RGB(131, 125, 119)",0.31,"RGB(32, 27, 18)",0.05,"RGB(96, 95, 95)",0.21,"RGB(178, 164, 153)",0.23,"RGB(139, 131, 125)",0.25,"RGB(213, 196, 181)",0.21,"RGB(63, 62, 61)",0.10
10,"RGB(171, 163, 153)",0.29,"RGB(54, 46, 32)",0.08,"RGB(197, 189, 180)",0.21,"RGB(141, 131, 117)",0.20,"RGB(99, 86, 69)",0.22,"RGB(219, 210, 193)",0.06,"RGB(113, 103, 89)",0.18,"RGB(164, 154, 141)",0.32,"RGB(64, 54, 38)",0.09,"RGB(135, 126, 113)",0.35
11,"RGB(198, 190, 176)",0.34,"RGB(21, 22, 22)",0.20,"RGB(92, 91, 88)",0.05,"RGB(216, 206, 186)",0.34,"RGB(174, 166, 151)",0.07,"RGB(146, 145, 137)",0.29,"RGB(14, 17, 22)",0.06,"RGB(122, 119, 111)",0.30,"RGB(193, 189, 175)",0.21,"RGB(64, 70, 73)",0.15
12,"RGB(185, 167, 148)",0.26,"RGB(12, 9, 7)",0.20,"RGB(147, 132, 115)",0.23,"RGB(110, 97, 83)",0.21,"RGB(71, 61, 52)",0.10,"RGB(139, 127, 113)",0.34,"RGB(204, 213, 215)",0.07,"RGB(176, 177, 174)",0.12,"RGB(73, 64, 55)",0.05,"RGB(161, 150, 137)",0.42
13,"RGB(94, 81, 74)",0.19,"RGB(216, 211, 201)",0.35,"RGB(50, 32, 23)",0.12,"RGB(178, 171, 162)",0.15,"RGB(132, 120, 115)",0.19,"RGB(87, 76, 65)",0.20,"RGB(148, 129, 115)",0.19,"RGB(216, 171, 132)",0.10,"RGB(44, 34, 26)",0.08,"RGB(116, 100, 89)",0.43
